menu_id,restaurant_id,item_name,description,price,category,availability,item_type,created_date,modified_date
1,1,Cheeseburger,Herr Uhr leicht reich schlafen.,18.29,Vietnamese,true,Vegan,2026-07-01 08:48:57,2026-03-21 08:48:57
2,1,Currywurst,Sonne laut See sich kochen.,15.95,Vietnamese,false,Veg,2025-07-25 08:48:57,2026-04-15 08:48:57
3,1,Pho Bo,Drehen sechs laut wenig mehr Pferd.,8.04,Vietnamese,true,Veg,2026-08-01 08:48:57,2026-07-21 08:48:57
4,1,Butter Chicken,Luft uns bekommen tot.,21.71,Vietnamese,true,Non-Veg,2026-01-13 08:48:57,2025-09-25 08:48:57
5,1,Falafel Wrap,Sonne ihn unten.,7.5,Vietnamese,false,Non-Veg,2026-01-21 08:48:57,2026-04-11 08:48:57
6,1,Doner Kebab,Bein dich etwas klein Baum.,15.81,Vietnamese,true,Veg,2025-07-11 08:48:57,2026-01-08 08:48:57
7,1,Butter Chicken,Weiß richtig als Mama ihm also See Mann.,7.17,Vietnamese,false,Veg,2025-11-01 08:48:57,2026-04-08 08:48:57
8,1,Pizza Margherita,Also Tier schaffen Tag weiter.,12.22,Vietnamese,false,Vegan,2025-11-15 08:48:57,2025-10-31 08:48:57
9,2,Vegan Buddha Bowl,Wenn Luft Feuer ob.,21.1,Vietnamese,false,Vegan,2025-08-10 08:48:57,2025-11-28 08:48:57
10,2,Pretzel,Tisch freuen hoch helfen hängen.,18.95,Vietnamese,false,Veg,2025-07-29 08:48:57,2025-12-13 08:48:57
11,2,Cheeseburger,Fiel schnell gefährlich tun Bett zwei Rad.,8.67,Vietnamese,true,Vegan,2026-03-25 08:48:57,2025-07-17 08:48:57
12,2,Currywurst,Boden Herr Minute.,12.72,Vietnamese,true,Non-Veg,2025-12-31 08:48:57,2026-07-05 08:48:57
13,2,Pho Bo,Opa schreien Bild unter.,8.22,Vietnamese,false,Non-Veg,2025-11-10 08:48:57,2026-07-03 08:48:57
14,2,Doner Kebab,Mutter verstehen brauchen machen auf es.,6.71,Vietnamese,false,Vegan,2026-05-27 08:48:57,2025-08-17 08:48:57
15,2,Butter Chicken,Land aus bekommen Wetter weg Musik Apfel.,5.16,Vietnamese,false,Non-Veg,2025-11-09 08:48:57,2025-12-18 08:48:57
16,2,Pretzel,Als erst denn traurig traurig wichtig.,5.12,Vietnamese,false,Non-Veg,2025-07-15 08:48:57,2025-10-18 08:48:57
17,3,Falafel Wrap,Dorf fest um Himmel Wasser.,10.85,Italian,true,Non-Veg,2026-03-14 08:48:57,2025-07-24 08:48:57
18,3,Pretzel,Heute sicher steigen schlecht besser sieben.,19.36,Italian,false,Vegan,2025-07-27 08:48:57,2025-08-02 08:48:57
19,3,Currywurst,Ball Junge uns Glück sonst wohnen.,18.4,Italian,true,Non-Veg,2026-04-23 08:48:57,2026-03-27 08:48:57
20,3,Pretzel,Zeigen gesund Onkel Stadt kennen fangen.,12.74,Italian,false,Non-Veg,2025-09-05 08:48:57,2025-08-31 08:48:57
21,4,Doner Kebab,Wird jeder schenken richtig bis nämlich Straße.,19.13,Vegan,true,Vegan,2025-11-13 08:48:57,2026-07-31 08:48:57
22,4,Pretzel,Bild die schwer Onkel.,14.65,Vegan,true,Veg,2025-09-18 08:48:57,2026-01-06 08:48:57
23,4,Doner Kebab,Gern Buch aber gelb Hand Freund.,19.6,Vegan,true,Veg,2026-04-02 08:48:57,2026-01-31 08:48:57
24,4,Vegan Buddha Bowl,Blau jeder mit Licht.,7.81,Vegan,false,Non-Veg,2025-07-20 08:48:57,2026-01-31 08:48:57
25,4,Pho Bo,Anfangen haben Boden neu.,17.54,Vegan,false,Non-Veg,2026-07-03 08:48:57,2025-12-16 08:48:57
26,4,Schnitzel,Vielleicht allein ihn spät sehen Monat.,17.48,Vegan,true,Non-Veg,2026-04-21 08:48:57,2025-09-15 08:48:57
27,4,Pizza Margherita,Möglich drehen Herz dem gefährlich.,18.06,Vegan,true,Veg,2026-04-09 08:48:57,2026-05-03 08:48:57
28,5,Falafel Wrap,Denn draußen früher Geburtstag später hart wirklich.,6.74,Vietnamese,true,Non-Veg,2025-09-05 08:48:57,2026-06-16 08:48:57
29,5,Falafel Wrap,Lehrer nächste klettern dazu acht hinter unser Herr.,21.06,Vietnamese,false,Vegan,2026-04-04 08:48:57,2025-07-17 08:48:57
30,5,Vegan Buddha Bowl,Kam jeder treffen rechnen nein gefährlich.,7.02,Vietnamese,true,Veg,2026-03-07 08:48:57,2026-06-19 08:48:57
31,5,Falafel Wrap,Wissen er gerade Zahl zeigen ganz Schnee leben.,4.46,Vietnamese,false,Vegan,2025-09-01 08:48:57,2026-02-02 08:48:57
32,6,Butter Chicken,Später gesund fährt stark hat wieder er.,5.37,Turkish,true,Veg,2025-08-22 08:48:57,2025-07-14 08:48:57
33,6,Pho Bo,Eigentlich sonst anfangen sehr wirklich erzählen Straße.,19.31,Turkish,true,Vegan,2025-07-09 08:48:57,2026-07-23 08:48:57
34,6,Vegan Buddha Bowl,Tragen stellen ich leicht.,13.59,Turkish,false,Veg,2025-11-27 08:48:57,2025-09-16 08:48:57
35,6,Vegan Buddha Bowl,Feuer rennen schwimmen steigen bekommen.,4.23,Turkish,false,Non-Veg,2026-06-20 08:48:57,2026-01-04 08:48:57
36,6,Vegan Buddha Bowl,Lange Hund lesen wer schlimm mein steigen Hand.,15.44,Turkish,false,Vegan,2026-05-27 08:48:57,2026-01-03 08:48:57
37,6,Doner Kebab,Nein Welt böse Finger rufen draußen nun.,17.21,Turkish,false,Vegan,2025-11-11 08:48:57,2025-07-13 08:48:57
38,6,Cheeseburger,Zum scheinen holen sitzen Zahl jeder alle.,12.37,Turkish,false,Non-Veg,2026-04-10 08:48:57,2026-06-30 08:48:57
39,7,Cheeseburger,Fahrrad sieht mit schlagen Fahrrad.,8.39,Burger,false,Vegan,2025-10-05 08:48:57,2025-09-05 08:48:57
40,7,Pretzel,Hin Spiel natürlich leicht Gott andere.,10.06,Burger,false,Non-Veg,2026-05-12 08:48:57,2025-12-07 08:48:57
41,7,Butter Chicken,Garten wer bis Tür.,10.39,Burger,false,Non-Veg,2026-03-23 08:48:57,2025-10-12 08:48:57
