order_item_id,order_id,menu_id,quantity,price,subtotal,created_date,modified_date
1,1,43,1,12.79,12.79,2026-06-21 08:48:57,2026-04-01 08:48:57
2,1,43,1,12.79,12.79,2026-07-01 08:48:57,2025-09-12 08:48:57
3,1,42,2,14.0,28.0,2026-04-18 08:48:57,2026-04-09 08:48:57
4,1,44,2,12.07,24.14,2025-12-30 08:48:57,2025-09-27 08:48:57
5,2,65,3,11.9,35.7,2026-05-18 08:48:57,2026-07-30 08:48:57
6,2,64,3,5.07,15.21,2026-02-12 08:48:57,2026-02-28 08:48:57
7,3,80,3,16.7,50.1,2026-03-27 08:48:57,2025-11-06 08:48:57
8,3,80,1,16.7,16.7,2025-08-21 08:48:57,2025-11-10 08:48:57
9,3,78,3,4.25,12.75,2025-10-12 08:48:57,2025-12-23 08:48:57
10,3,80,3,16.7,50.1,2025-09-20 08:48:57,2025-09-20 08:48:57
11,4,66,2,20.97,41.94,2025-11-10 08:48:57,2026-04-19 08:48:57
12,4,64,2,5.07,10.14,2026-03-09 08:48:57,2026-02-07 08:48:57
13,4,67,2,20.01,40.02,2026-05-26 08:48:57,2026-03-11 08:48:57
14,5,52,3,5.85,17.55,2025-07-21 08:48:57,2026-06-05 08:48:57
15,6,75,2,17.62,35.24,2025-11-13 08:48:57,2026-08-09 08:48:57
16,6,76,2,6.36,12.72,2026-03-13 08:48:57,2026-08-09 08:48:57
17,6,76,2,6.36,12.72,2025-10-12 08:48:57,2026-04-17 08:48:57
18,7,6,1,15.81,15.81,2026-01-15 08:48:57,2025-10-30 08:48:57
19,8,72,1,9.19,9.19,2026-05-22 08:48:57,2025-08-12 08:48:57
20,8,72,2,9.19,18.38,2026-04-23 08:48:57,2026-04-01 08:48:57
21,8,69,2,12.47,24.94,2025-09-27 08:48:57,2026-04-13 08:48:57
22,8,71,2,10.0,20.0,2025-09-15 08:48:57,2025-07-29 08:48:57
23,9,55,1,6.73,6.73,2026-07-09 08:48:57,2026-05-12 08:48:57
24,9,53,2,11.93,23.86,2026-06-18 08:48:57,2025-09-21 08:48:57
25,9,55,3,6.73,20.19,2025-12-25 08:48:57,2026-03-27 08:48:57
26,10,65,2,11.9,23.8,2026-08-04 08:48:57,2026-05-28 08:48:57
27,10,64,3,5.07,15.21,2026-08-02 08:48:57,2026-05-10 08:48:57
28,10,64,2,5.07,10.14,2026-03-29 08:48:57,2026-06-10 08:48:57
29,10,67,3,20.01,60.03,2026-08-09 08:48:57,2026-04-16 08:48:57
30,11,22,1,14.65,14.65,2025-12-04 08:48:57,2026-04-24 08:48:57
31,12,31,2,4.46,8.92,2025-12-01 08:48:57,2026-02-04 08:48:57
32,12,31,3,4.46,13.38,2026-07-28 08:48:57,2026-02-25 08:48:57
33,12,28,1,6.74,6.74,2026-07-16 08:48:57,2026-03-30 08:48:57
34,13,17,3,10.85,32.55,2025-12-16 08:48:57,2026-05-13 08:48:57
35,13,18,2,19.36,38.72,2026-01-30 08:48:57,2026-08-07 08:48:57
36,13,17,3,10.85,32.55,2026-04-08 08:48:57,2026-01-28 08:48:57
37,13,20,1,12.74,12.74,2025-08-01 08:48:57,2026-07-27 08:48:57
38,14,136,3,12.17,36.51,2025-07-15 08:48:57,2026-06-26 08:48:57
39,14,134,2,5.32,10.64,2026-01-26 08:48:57,2025-08-30 08:48:57
40,15,41,1,10.39,10.39,2025-09-25 08:48:57,2025-08-06 08:48:57
41,15,39,3,8.39,25.17,2025-11-05 08:48:57,2025-11-20 08:48:57
42,15,39,2,8.39,16.78,2025-12-10 08:48:57,2025-09-21 08:48:57
43,16,65,2,11.9,23.8,2026-07-18 08:48:57,2025-09-06 08:48:57
44,16,65,1,11.9,11.9,2026-04-15 08:48:57,2025-09-23 08:48:57
45,16,67,2,20.01,40.02,2026-08-06 08:48:57,2026-05-20 08:48:57
46,17,73,2,8.54,17.08,2026-04-11 08:48:57,2026-08-09 08:48:57
47,17,73,3,8.54,25.62,2025-08-25 08:48:57,2025-12-13 08:48:57
48,17,74,2,12.32,24.64,2025-07-15 08:48:57,2026-06-29 08:48:57
49,18,58,2,14.97,29.94,2026-06-28 08:48:57,2025-08-27 08:48:57
50,18,61,2,9.24,18.48,2025-07-21 08:48:57,2025-09-27 08:48:57
51,19,1,2,18.29,36.58,2025-09-17 08:48:57,2026-05-27 08:48:57
52,20,134,2,5.32,10.64,2026-04-16 08:48:57,2026-03-04 08:48:57
53,21,144,3,5.86,17.58,2026-05-07 08:48:57,2026-08-03 08:48:57
54,21,143,2,19.63,39.26,2025-08-08 08:48:57,2026-06-06 08:48:57
55,21,141,1,18.61,18.61,2025-12-08 08:48:57,2025-08-17 08:48:57
56,22,30,3,7.02,21.06,2025-08-22 08:48:57,2025-12-06 08:48:57
57,22,29,3,21.06,63.18,2026-05-10 08:48:57,2025-11-08 08:48:57
58,22,30,2,7.02,14.04,2025-08-04 08:48:57,2025-12-17 08:48:57
59,22,30,3,7.02,21.06,2025-11-03 08:48:57,2026-05-23 08:48:57
60,23,134,2,5.32,10.64,2026-03-15 08:48:57,2026-04-01 08:48:57
61,24,96,1,9.28,9.28,2025-07-12 08:48:57,2025-09-21 08:48:57
62,24,97,2,11.42,22.84,2025-08-03 08:48:57,2026-05-11 08:48:57
63,24,93,3,19.7,59.1,2026-02-08 08:48:57,2025-07-12 08:48:57
64,25,23,3,19.6,58.8,2026-07-12 08:48:57,2025-09-10 08:48:57
65,25,25,2,17.54,35.08,2026-05-08 08:48:57,2025-11-18 08:48:57
66,26,74,3,12.32,36.96,2026-03-22 08:48:57,2026-03-01 08:48:57
67,26,76,3,6.36,19.08,2026-03-02 08:48:57,2026-06-18 08:48:57
68,26,73,3,8.54,25.62,2025-09-10 08:48:57,2026-07-10 08:48:57
69,26,73,1,8.54,8.54,2026-05-14 08:48:57,2026-07-28 08:48:57
70,27,104,2,4.15,8.3,2026-05-07 08:48:57,2026-06-24 08:48:57
